álbum,música,letra,duração,exibições,indicações,prêmios
Sheer Heart Attack,Bring Back That Leroy Brown,Bring back bring back bring back that Leroy Brown Yeah! Bring back bring back gotta ring that Leroy Brown Yeah! Bet your bottom dollar bill you're a playboy Yeah Yeah! Daddy cool with a ninety dollar smile (ooh Yeah) Took my money out of gratitude And he git right out of town Well I gotta getty up steady up shoot him down Gotta hit that latitude babe Bring back bring back bring back that Leroy Brown Yeah! Bring back bring back gotta ring that Leroy Brown Yeah! Big bad Leroy Brown he got no common sense No no he got no brains but he sure gotta lotta style Can't stand no more in this here jail I gotta rid myself of this sentence Gotta get out of the heat step into the shade Gotta get me there dead or alive babe Wooh wooh big bad Leroy Wooh wooh wooh wooh Big bad Leroy Brown Bring back bring back bring back that Leroy Brown Yeah! Bring back bring back gotta bring back Leroy Brown Yeah! Big mama Lulu Belle she had a nervous breakdown She had a nervous breakdown Leroy's taken her honey chile away But she met him down at the station Oohoo Put a shotgun to his head and unless I be mistaken This is what she said Big bad big boy big bad Leroy Brown I'm gonna get that cutie pie Bring back bring back bring back that Leroy Brown Yeah! Big bad caused a mighty fine sensation Yeah Yeah! Gone and got himself elected President We want Leroy for President Next time you gotta hit a bitty baddy weather This time like a shimmy shammy leather He's a big boy bad boy Leroy I don't care where you get him from Bring that big bad Leroy back Want him back ,140,8398,0,0
Sheer Heart Attack,She Makes Me,"I love, she makes me She is my heart She is my love She is my love I know, I'm jealous of her She makes me need She is my love She is my love Who knows who she'll make me As I lie in her cocoon But the world will surely heal my ills I'm warm and terrified She makes me so I know, the day I leave her I'd love her still She is my love She is my love Who knows where my dreams will end I'll follow as they grow But the world will know How long I'll take And if I'm very slow She makes me so She is my love She is my love ",258,9879,0,0
Sheer Heart Attack,In The Lap Of The Gods (Revisited),It's so easy but I can't do it So risky But I gotta chance it It's so funny There's nothing to laugh about My money That's all you want to talk about I can see what you want me to be But I'm not fool It's in the lap of the gods Wo wo la la la wo I can see what you want me to be But I'm no fool No beginning there's no ending There's no meaning In my pretending Believe me life goes on and on and on Forgive me when I ask you Where do I belong You say I can't set you free from me But that's not true It's in the lap of the gods Wo wo la la la wo I can see what you want me to be But I'm no fool It's in the lap of the gods Wo wo la la la wo Wo wo la la Wah wah ooh But that's not true It's in the lap of the gods Wo wo la la la wo Wo wo la la Wah wah ooh But I'm no fool It's in the lap of the gods Wo wo la la la wo Wo wo la la Wah wah ooh It's in the lap of the gods Wo wo la la la wo Wo wo la la Wah wah ooh But I'm no fool It's in the lap of the gods Wo wo la la la wo Wo wo la la Wah wah ooh ,228,28215,0,0
Queen II,Procession,,418,4996,0,0
Queen II,Father To Son,"A word in your ear From father to son Hear the word that I say I fought with you Fought on your side Long before you were born Joyful the sound The word goes around From father to son To son And the voice is so clear Time after time it keeps calling you Calling you on Don't destroy what you see Your country to be Just keep building on the ground That's been won Kings will be crowned And the word goes around From father to son To son Won't you hear us sing Our family song? Oh, yeah Now we hand it on (oh) But I've heard it all before Take this letter that I give you Take it, sonny, hold it high You won't understand a word that's in it But you'll write it all again before you die Yeah, yeah, yeah A word in your ear From father to son Funny, you don't hear a single word I say But my letter to you will stay by your side through the years Till the loneliness is gone (Sing, if you will) But the air you breathe, I live to give you Father to son Father to son Joyful the sound The word goes around From father to son To son Kings will be crowned The word goes around From father to son To son Joyful the sound The word goes around From father to son To son Kings will be crowned The word goes around From father to son To son Joyful the sound The word goes around From father to son To son Kings will be crowned The word goes around From father to son To son ",374,40368,0,0
Queen II,White Queen (As It Began),"So sad her eyes Smiling dark eyes So sad her eyes As it began On such a breathless night as this Upon my brow the lightest kiss I walked alone And all around the air did say My lady soon will stir this way In sorrow known The white queen walks and The night grows pale Stars of lovingness in her hair Needing, unheard Pleading, one word So sad my eyes She cannot see How did thee fare, what have thee seen The mother of the willow green I call her name And 'neath her window have I stayed I loved the footsteps that she made And when she came White queen how my heart did ache And dry my lips no word would make So still I wait My goddess hear my darkest fear I speak too late It's for evermore that I wait Dear friend, goodbye No tears in my eyes So sad it ends As it began ",274,17762,0,0
Queen II,"Some Day, One Day","You never heard my song before The music was too loud But now I think you hear me well For now we both know how No star can light our way In this cloud of dark and fear But some day, one day Funny how the pages turn And hold us in between A misty castle waits for you And you shall be a queen Today the cloud it hangs Over us and all is grey But some day, one day When I was you and you were me And we were very young Together took us nearly there The rest may not be sung So still the cloud it hangs Over us and we're alone But some day, one day We'll come home ",262,8890,0,0
Queen II,The Loser In The End,"Mama's gotta problem She don't know what to say Her little baby boy just left home today She's got to be the loser in the end She's got to be the loser in the end Misuse her and you'll lose her as a friend She's ma on whom you can always depend She washed and fed, and clothed and cared For nearly twenty years And all she gets is: goodbye, ma And the nightimes for her tears She's got to be the loser in the end She's got to be the loser in the end Misuse her and you'll lose her as a friend She's ma on whom you can always depend So listen mothers everywhere To just one mother's son You'll get forgotten on the way If you don't let them have their fun Forget regrets, and just remember It's so long since you were young You're bound to be the loser in the end You're bound to be the loser in the end They'll choose their new shoes that's not far to bend You're ma on whom they can always depend ",250,6409,0,0
Queen II,Ogre Battle,"Now once upon a time An old man told me a fable When the piper is gone And the soup is cold upon the table And if the black crow flies Find a new destination That is the sign Come tonight Come to the ogre site Come to ogre battle fight He gives a great big cry And he can swallow up the ocean With mighty tongue he catches flies And the palm of his hand incredible size One great big eye Has to focus in your direction Now the battle is on Yeah yeah yeah Come tonight Come to the ogre site Come to ogre battle fight Ah ah ah ah ah The ogre men are still inside The two way mirror mountain You gotta keep down Right out of sight You can't see in but they can see out Keep a look out The ogre men are coming out From the two way mirror mountain They're running up behind And they're coming all about Can't go east 'cause you gotta go south Ogre men are going home The great big fight is over Bugle blow, let trumpet cry Ogre battle lives for ever more Oh oh oh You can come along You can come along Come to ogre battle ",277,10045,0,0
Queen II,The Fairy Fellers Master-stroke,"He's a fairy feller The fairy folk have gathered round the new moon shine To see the feller crack a nut at nights noon time To swing his ace he swears, as it climbs he dares To deliver The master-stroke! Ploughman, Waggoner Will, and types Politician with senatorial pope, he's a dilly-dally-o Pedagogue squinting, wears a frown And a satyr peers under lady's gown, dirty fellow What a dirty laddio Tatterdemalion and a junketer There's a thief and a dragonfly trumpeter, he's my hero Fairy dandy tickling the fancy of his lady friend The nymph in yellow 'can we see the master-stroke' What a quaere fellow Soldier, sailor, tinker, tailor, ploughboy Waiting to hear the sound And the arch-magician presides He is the leader Oberon and titania watched by a harridan Mab is the queen and there's a good apothecary-man Come to say hello Fairy dandy tickling the fancy of his lady friend The nymph in yellow What a quaere fellow The ostler stares with hands on his knees Come on, mr. Feller, crack it open if you please ",239,9672,0,0
